"protein";"AVG_normal";"AVG_stimulated";"percent_difference";"normal_mouse_3422";"normal_mouse_3423";"normal_mouse_3488";"normal_mouse_3489";"normal_mouse_3490";"Difference_3422";"Difference_3423";"Difference_3488";"Difference_3489";"Difference_3490"
"RSK_N";0.174814;0.15061;-14.8751;0.16637;0.196386;0.148244;0.202626;0.160443;0.01576;0.045776;0.002366;0.052016;0.009833
"APP_N";0.362697;0.370857;2.22464;0.388507;0.3821;0.351846;0.347429;0.343603;0.01765;0.011244;0.019011;0.023427;0.027253
"Bcatenin_N";2.32248;2.18129;-6.26971;1.9897;2.63987;2.11052;2.49584;2.37644;0.191585;0.458577;0.070767;0.314552;0.195155
"SOD1_N";0.917957;0.298472;-101.853;0.840774;0.885774;1.0666;1.0012;0.79543;0.542301;0.587301;0.768132;0.702732;0.496958
"MTOR_N";0.490922;0.436138;-11.8188;0.578965;0.503789;0.497581;0.452984;0.42129;0.142826;0.067651;0.061443;0.016846;0.014849
"P38_N";0.470423;0.361078;-26.3005;0.593799;0.436939;0.514958;0.406016;0.4004;0.23272;0.075861;0.15388;0.044938;0.039322
"pMTOR_N";0.811348;0.724292;-11.3382;0.922086;0.861665;0.754862;0.779317;0.738812;0.197794;0.137374;0.030571;0.055025;0.014521
"DSCR1_N";0.562845;0.536143;-4.85947;0.630729;0.566533;0.544338;0.561682;0.510944;0.094586;0.03039;0.008196;0.025539;0.025199
"AMPKA_N";0.380206;0.388027;2.03599;0.42783;0.397804;0.368022;0.361306;0.34607;0.039803;0.009777;0.020005;0.026721;0.041957
"NR2B_N";0.609504;0.540941;-11.9194;0.682278;0.648973;0.608561;0.556901;0.550806;0.141337;0.108032;0.067621;0.015961;0.009865
"pNUMB_N";0.29012;0.39291;30.0984;0.322326;0.301934;0.277917;0.278249;0.270172;0.070584;0.090976;0.114994;0.114661;0.122738
"RAPTOR_N";0.30912;0.304672;-1.4494;0.364636;0.318909;0.300271;0.291256;0.270528;0.059964;0.014237;0.004401;0.013416;0.034144
"TIAM1_N";0.397135;0.415178;4.4424;0.454118;0.411378;0.388217;0.368782;0.363182;0.038939;0.0038;0.026961;0.046397;0.051997
"pP70S6_N";0.370519;0.297185;-21.966;0.503682;0.355958;0.37431;0.354447;0.264196;0.206498;0.058773;0.077126;0.057262;0.032989
"NUMB_N";0.172342;0.204726;17.1766;0.151804;0.196516;0.163235;0.167446;0.18271;0.052922;0.00821;0.041491;0.03728;0.022016
"P70S6_N";0.915511;0.991128;7.93193;0.771152;0.941014;0.876889;0.948516;1.03998;0.219976;0.050114;0.114238;0.042611;0.048856
"pGSK3B_N";0.144939;0.177931;20.4366;0.140788;0.153951;0.135926;0.143011;0.151022;0.037144;0.02398;0.042006;0.034921;0.02691
"pPKCG_N";1.27641;1.67796;27.1836;1.41362;1.46075;1.04284;1.26578;1.19904;0.264337;0.217208;0.635116;0.412182;0.478917
"CDK5_N";0.271424;0.318668;16.0124;0.246641;0.303118;0.242964;0.273693;0.290702;0.072026;0.01555;0.075703;0.044974;0.027966
"S6_N";0.297581;0.443723;39.4284;0.24279;0.305587;0.29249;0.304147;0.342891;0.200933;0.138136;0.151233;0.139576;0.100832
"ADARB1_N";1.12118;1.38837;21.2945;1.26121;1.48081;0.995827;0.924743;0.94329;0.127167;0.09244;0.392547;0.463631;0.445084
"AcetylH3K9_N";0.0997823;0.15035;40.4325;0.1364;0.0678847;0.115026;0.0635139;0.116087;0.013949;0.082465;0.035324;0.086836;0.034263
"RRP1_N";0.155551;0.165981;6.4878;0.156419;0.151325;0.148488;0.139181;0.18234;0.009562;0.014656;0.017493;0.0268;0.01636
"BAX_N";0.176412;0.191661;8.28581;0.171493;0.183408;0.161748;0.167504;0.197909;0.020168;0.008253;0.029914;0.024157;0.006248
"ARC_N";0.131636;0.114075;-14.2938;0.135844;0.137074;0.126123;0.125648;0.133491;0.021769;0.022998;0.012048;0.011573;0.019416
"ERBB4_N";0.157366;0.151881;-3.54717;0.154344;0.166321;0.15275;0.153652;0.159763;0.002462;0.01444;0.000869;0.001771;0.007882
"nNOS_N";0.195949;0.170478;-13.9022;0.193153;0.215161;0.174366;0.19262;0.204442;0.022675;0.044684;0.003888;0.022143;0.033964
"Tau_N";0.165954;0.167188;0.741231;0.172044;0.169048;0.174933;0.141672;0.172071;0.004856;0.00186;0.007745;0.025516;0.004883
"GFAP_N";0.110511;0.125034;12.3308;0.118958;0.108668;0.109206;0.10182;0.113905;0.006075;0.016365;0.015828;0.023214;0.011129
"GluR3_N";0.218386;0.243823;11.007;0.219222;0.219279;0.242888;0.198945;0.211594;0.024601;0.024544;0.000935;0.044878;0.032229
"GluR4_N";0.115139;0.133552;14.8077;0.119876;0.119566;0.118069;0.101646;0.116539;0.013676;0.013986;0.015482;0.031906;0.017013
"IL1B_N";0.570333;0.473778;-18.4951;0.585439;0.556458;0.573431;0.504541;0.631796;0.11166;0.082679;0.099653;0.030762;0.158018
"P3525_N";0.282909;0.28958;2.33044;0.299322;0.29644;0.272034;0.264136;0.282613;0.009742;0.00686;0.017546;0.025444;0.006966
"pCASP9_N";1.51867;1.68614;10.4513;1.49158;1.72062;1.31382;1.48822;1.57912;0.194568;0.034479;0.372327;0.197925;0.10702
"PSD95_N";2.33476;2.1101;-10.1088;2.10634;2.55825;2.21752;2.46207;2.32962;0.003764;0.448154;0.107423;0.351973;0.219522
"SNCA_N";0.171129;0.145868;-15.9377;0.194328;0.166487;0.174095;0.156298;0.164439;0.04846;0.020618;0.028226;0.010429;0.018571
"Ubiquitin_N";1.267;1.07818;-16.1033;1.28432;1.35837;1.11978;1.27537;1.29717;0.206142;0.280191;0.041607;0.197192;0.218994
"pGSK3B_Tyr216_N";0.788112;0.862718;9.03858;0.780313;0.817247;0.731705;0.784243;0.827053;0.082405;0.045471;0.131013;0.078475;0.035665
"SHH_N";0.234657;0.213971;-9.22194;0.253104;0.216074;0.261865;0.203819;0.238421;0.039133;0.002103;0.047895;0.010151;0.02445
"BAD_N";0.148608;0.144133;-3.05766;0.161122;0.144322;0.146609;0.13443;0.156558;0.016989;0.000189;0.002476;0.009703;0.012426
"BCL2_N";0.130788;0.126276;-3.5098;0.144376;0.126969;0.130472;0.115273;0.136848;0.0181;0.000693;0.004195;0.011004;0.010572
"pS6_N";0.131636;0.114075;-14.2938;0.135844;0.137074;0.126123;0.125648;0.133491;0.021769;0.022998;0.012048;0.011573;0.019416
"pCFOS_N";0.131207;0.133084;1.42063;0.150697;0.111568;0.140532;0.108813;0.144426;0.017612;0.021516;0.007447;0.024272;0.011341
"SYP_N";0.465066;0.46766;0.556254;0.381256;0.529302;0.405849;0.484481;0.524443;0.086405;0.061642;0.061811;0.016821;0.056783
"H3AcK18_N";0.136921;0.137791;0.633625;0.155078;0.120786;0.137997;0.116326;0.154417;0.017287;0.017005;0.000206;0.021465;0.016626
"EGR1_N";0.187267;0.1674;-11.2031;0.218349;0.172006;0.197695;0.159569;0.188717;0.050949;0.004606;0.030294;0.007831;0.021317
"H3MeK4_N";0.199548;0.169657;-16.192;0.193065;0.19708;0.1846;0.193552;0.229443;0.023408;0.027423;0.014943;0.023895;0.059786
"CaNA_N";1.16384;1.68391;36.5247;0.942573;1.31493;0.919659;1.2871;1.35494;0.741336;0.368977;0.76425;0.396806;0.328965
